,date,author,post_tag,post_id,link
0,2023-12-13,Сидоров Антон Владимирович,Тенденции,318261,https://adindex.ru/news/tendencies/2023/12/13/318261.phtml
1,2023-12-13,Данилова Светлана Викторовна,Креатив,318259,https://adindex.ru/news/creative/2023/12/13/318259.phtml
2,2023-12-13,Иванов Иван Иванович,Тенденции,318152,https://adindex.ru/news/tendencies/2023/12/13/318152.phtml
3,2023-12-13,Васильева Екатерина Васильевна,Кадры,318149,https://adindex.ru/news/hr/2023/12/13/318149.phtml
4,2023-12-13,Жукова Ирина Ильинична,Кадры,318116,https://adindex.ru/news/hr/2023/12/13/318116.phtml
5,2023-12-13,Данилова Светлана Викторовна,Социальные проекты,318115,https://adindex.ru/news/social_advertising/2023/12/13/318115.phtml
6,2023-12-13,Петрова Мария Сергеевна,Пресс-релизы,317945,https://adindex.ru/news/releases/2023/12/11/317945.phtml?erid=%202VtzqxRV5X1
7,2023-12-13,Сидоров Антон Владимирович,Агентства,317957,https://adindex.ru/news/agencies/2023/12/11/317957.phtml
8,2023-12-13,Петрова Мария Сергеевна,Тенденции,318095,https://adindex.ru/news/tendencies/2023/12/13/318095.phtml
9,2023-12-13,Жукова Ирина Ильинична,Право,318092,https://adindex.ru/news/right/2023/12/13/318092.phtml
10,2023-12-13,Андреева Анастасия Андреевна,Медиа,318090,https://adindex.ru/news/media/2023/12/13/318090.phtml
11,2023-12-13,Андреева Анастасия Андреевна,Тенденции,318089,https://adindex.ru/news/tendencies/2023/12/13/318089.phtml
12,2023-12-13,Васильева Екатерина Васильевна,Маркетинг,318088,https://adindex.ru/news/marketing/2023/12/13/318088.phtml
13,2023-12-13,Егорова Надежда Андреевна,Медиа,318086,https://adindex.ru/news/media/2023/12/13/318086.phtml
14,2023-12-13,Данилова Светлана Викторовна,Маркетинг,318084,https://adindex.ru/news/marketing/2023/12/13/318084.phtml
15,2023-12-13,Данилова Светлана Викторовна,Тенденции,318083,https://adindex.ru/news/tendencies/2023/12/13/318083.phtml
16,2023-12-13,Егорова Надежда Андреевна,Тенденции,318082,https://adindex.ru/news/tendencies/2023/12/13/318082.phtml
17,2023-12-12,Сидоров Антон Владимирович,Право,318081,https://adindex.ru/news/right/2023/12/12/318081.phtml
18,2023-12-12,Иванов Иван Иванович,Креатив,318080,https://adindex.ru/news/creative/2023/12/12/318080.phtml
19,2023-12-12,Григорьева Людмила Григорьевна,Право,318079,https://adindex.ru/news/right/2023/12/12/318079.phtml
20,2023-12-12,Сидоров Антон Владимирович,Право,318076,https://adindex.ru/news/right/2023/12/12/318076.phtml
21,2023-12-12,Иванов Иван Иванович,Социальные проекты,318017,https://adindex.ru/news/social_advertising/2023/12/12/318017.phtml
22,2023-12-12,Егорова Надежда Андреевна,Digital,317999,https://adindex.ru/news/digital/2023/12/12/317999.phtml
23,2023-12-12,Данилова Светлана Викторовна,Исследования,317997,https://adindex.ru/news/researches/2023/12/12/317997.phtml
24,2023-12-12,Григорьева Людмила Григорьевна,Исследования,317995,https://adindex.ru/news/researches/2023/12/12/317995.phtml
25,2023-12-12,Андреева Анастасия Андреевна,Маркетинг,317993,https://adindex.ru/news/marketing/2023/12/12/317993.phtml
26,2023-12-12,Васильева Екатерина Васильевна,Исследования,317965,https://adindex.ru/news/researches/2023/12/12/317965.phtml
27,2023-12-12,Егорова Надежда Андреевна,Социальные проекты,317977,https://adindex.ru/news/social_advertising/2023/12/12/317977.phtml
28,2023-12-12,Егорова Надежда Андреевна,Маркетинг,317968,https://adindex.ru/news/marketing/2023/12/12/317968.phtml
29,2023-12-12,Жукова Ирина Ильинична,Право,317964,https://adindex.ru/news/right/2023/12/12/317964.phtml
30,2023-12-12,Сидоров Антон Владимирович,Тенденции,317963,https://adindex.ru/news/tendencies/2023/12/12/317963.phtml
31,2023-12-12,Григорьева Людмила Григорьевна,Digital,317961,https://adindex.ru/news/digital/2023/12/12/317961.phtml
32,2023-12-12,Андреева Анастасия Андреевна,Тенденции,317960,https://adindex.ru/news/tendencies/2023/12/12/317960.phtml
33,2023-12-12,Петрова Мария Сергеевна,Право,317959,https://adindex.ru/news/right/2023/12/12/317959.phtml
34,2023-12-12,Григорьева Людмила Григорьевна,Тенденции,317958,https://adindex.ru/news/tendencies/2023/12/12/317958.phtml
