,date,author,visitors,post_tag,post_id,link,views
0,2023-12-13,Григорьева Людмила Григорьевна,9757,Тенденции,318261,https://adindex.ru/news/tendencies/2023/12/13/318261.phtml,9880
1,2023-12-13,Сидоров Антон Владимирович,16205,Креатив,318259,https://adindex.ru/news/creative/2023/12/13/318259.phtml,17551
2,2023-12-13,Васильева Екатерина Васильевна,8593,Тенденции,318152,https://adindex.ru/news/tendencies/2023/12/13/318152.phtml,11930
3,2023-12-13,Сидоров Антон Владимирович,2179,Кадры,318149,https://adindex.ru/news/hr/2023/12/13/318149.phtml,3264
4,2023-12-13,Данилова Светлана Викторовна,4196,Кадры,318116,https://adindex.ru/news/hr/2023/12/13/318116.phtml,4263
5,2023-12-13,Иванов Иван Иванович,17014,Социальные проекты,318115,https://adindex.ru/news/social_advertising/2023/12/13/318115.phtml,25216
6,2023-12-13,Егорова Надежда Андреевна,10495,Пресс-релизы,317945,https://adindex.ru/news/releases/2023/12/11/317945.phtml?erid=%202VtzqxRV5X1,13698
7,2023-12-13,Андреева Анастасия Андреевна,6934,Агентства,317957,https://adindex.ru/news/agencies/2023/12/11/317957.phtml,8490
8,2023-12-13,Иванов Иван Иванович,5930,Тенденции,318095,https://adindex.ru/news/tendencies/2023/12/13/318095.phtml,7823
9,2023-12-13,Андреева Анастасия Андреевна,14426,Право,318092,https://adindex.ru/news/right/2023/12/13/318092.phtml,16370
10,2023-12-13,Данилова Светлана Викторовна,12541,Медиа,318090,https://adindex.ru/news/media/2023/12/13/318090.phtml,17539
11,2023-12-13,Егорова Надежда Андреевна,6407,Тенденции,318089,https://adindex.ru/news/tendencies/2023/12/13/318089.phtml,6441
12,2023-12-13,Данилова Светлана Викторовна,6912,Маркетинг,318088,https://adindex.ru/news/marketing/2023/12/13/318088.phtml,8393
13,2023-12-13,Егорова Надежда Андреевна,13602,Медиа,318086,https://adindex.ru/news/media/2023/12/13/318086.phtml,19356
14,2023-12-13,Жукова Ирина Ильинична,495,Маркетинг,318084,https://adindex.ru/news/marketing/2023/12/13/318084.phtml,729
15,2023-12-13,Григорьева Людмила Григорьевна,9390,Тенденции,318083,https://adindex.ru/news/tendencies/2023/12/13/318083.phtml,11868
16,2023-12-13,Петрова Мария Сергеевна,8754,Тенденции,318082,https://adindex.ru/news/tendencies/2023/12/13/318082.phtml,10439
17,2023-12-12,Григорьева Людмила Григорьевна,12337,Право,318081,https://adindex.ru/news/right/2023/12/12/318081.phtml,18492
18,2023-12-12,Андреева Анастасия Андреевна,6835,Креатив,318080,https://adindex.ru/news/creative/2023/12/12/318080.phtml,8321
19,2023-12-12,Егорова Надежда Андреевна,17318,Право,318079,https://adindex.ru/news/right/2023/12/12/318079.phtml,19038
20,2023-12-12,Андреева Анастасия Андреевна,18770,Право,318076,https://adindex.ru/news/right/2023/12/12/318076.phtml,27909
21,2023-12-12,Сидоров Антон Владимирович,3971,Социальные проекты,318017,https://adindex.ru/news/social_advertising/2023/12/12/318017.phtml,5860
22,2023-12-12,Жукова Ирина Ильинична,3166,Digital,317999,https://adindex.ru/news/digital/2023/12/12/317999.phtml,4125
23,2023-12-12,Иванов Иван Иванович,5064,Исследования,317997,https://adindex.ru/news/researches/2023/12/12/317997.phtml,5456
24,2023-12-12,Григорьева Людмила Григорьевна,9648,Исследования,317995,https://adindex.ru/news/researches/2023/12/12/317995.phtml,10836
25,2023-12-12,Данилова Светлана Викторовна,13308,Маркетинг,317993,https://adindex.ru/news/marketing/2023/12/12/317993.phtml,16718
26,2023-12-12,Егорова Надежда Андреевна,12552,Исследования,317965,https://adindex.ru/news/researches/2023/12/12/317965.phtml,13722
27,2023-12-12,Иванов Иван Иванович,11734,Социальные проекты,317977,https://adindex.ru/news/social_advertising/2023/12/12/317977.phtml,15406
28,2023-12-12,Григорьева Людмила Григорьевна,13721,Маркетинг,317968,https://adindex.ru/news/marketing/2023/12/12/317968.phtml,17711
29,2023-12-12,Васильева Екатерина Васильевна,2842,Право,317964,https://adindex.ru/news/right/2023/12/12/317964.phtml,3607
30,2023-12-12,Петрова Мария Сергеевна,16920,Тенденции,317963,https://adindex.ru/news/tendencies/2023/12/12/317963.phtml,24620
31,2023-12-12,Сидоров Антон Владимирович,4580,Digital,317961,https://adindex.ru/news/digital/2023/12/12/317961.phtml,5872
32,2023-12-12,Данилова Светлана Викторовна,2234,Тенденции,317960,https://adindex.ru/news/tendencies/2023/12/12/317960.phtml,3252
33,2023-12-12,Андреева Анастасия Андреевна,8938,Право,317959,https://adindex.ru/news/right/2023/12/12/317959.phtml,9884
34,2023-12-12,Борисова Ольга Борисовна,1510,Тенденции,317958,https://adindex.ru/news/tendencies/2023/12/12/317958.phtml,1570
35,2023-12-11,Петрова Мария Сергеевна,4386,Digital,317948,https://adindex.ru/news/digital/2023/12/11/317948.phtml,5433
36,2023-12-11,Петрова Мария Сергеевна,493,Тенденции,317946,https://adindex.ru/news/tendencies/2023/12/11/317946.phtml,730
37,2023-12-11,Григорьева Людмила Григорьевна,19254,Креатив,317943,https://adindex.ru/news/creative/2023/12/11/317943.phtml,25877
38,2023-12-11,Васильева Екатерина Васильевна,600,Эккаунты,317936,https://adindex.ru/news/ek/2023/12/11/317936.phtml,890
39,2023-12-11,Жукова Ирина Ильинична,5662,Креатив,317931,https://adindex.ru/news/creative/2023/12/11/317931.phtml,6119
40,2023-12-11,Сидоров Антон Владимирович,10037,Маркетинг,317929,https://adindex.ru/news/marketing/2023/12/11/317929.phtml,13546
41,2023-12-11,Петрова Мария Сергеевна,12341,Маркетинг,317883,https://adindex.ru/news/marketing/2023/12/11/317883.phtml,15827
42,2023-12-11,Васильева Екатерина Васильевна,9657,Медиа,317886,https://adindex.ru/news/media/2023/12/11/317886.phtml,14390
43,2023-12-11,Григорьева Людмила Григорьевна,3379,Креатив,317884,https://adindex.ru/news/creative/2023/12/11/317884.phtml,3797
44,2023-12-11,Борисова Ольга Борисовна,8610,Тенденции,317882,https://adindex.ru/news/tendencies/2023/12/11/317882.phtml,9659
45,2023-12-11,Егорова Надежда Андреевна,10601,Пресс-релизы,317881,https://adindex.ru/news/releases/2023/12/11/317881.phtml,12412
