,date,author,visitors,post_tag,post_id,link,views
0,2023-08-12,Егорова Надежда Андреевна,18291,Медиа,317821,https://adindex.ru/news/media/2023/12/8/317821.phtml,25368
1,2023-08-12,Егорова Надежда Андреевна,11150,Пресс-релизы,317797,https://adindex.ru/news/releases/2023/12/7/317797.phtml?erid=%202VtzqvcpebC,16340
2,2023-08-12,Иванов Иван Иванович,7193,Право,317818,https://adindex.ru/news/right/2023/12/8/317818.phtml,7497
3,2023-08-12,Данилова Светлана Викторовна,4472,Исследования,317816,https://adindex.ru/news/researches/2023/12/8/317816.phtml,6235
4,2023-08-12,Петрова Мария Сергеевна,9101,Digital,317813,https://adindex.ru/news/digital/2023/12/8/317813.phtml,11652
5,2023-08-12,Борисова Ольга Борисовна,17727,Пресс-релизы,317795,https://adindex.ru/news/releases/2023/12/7/317795.phtml?erid=%202Vtzqwcfq9k,18426
6,2023-08-12,Иванов Иван Иванович,17287,Тенденции,317811,https://adindex.ru/news/tendencies/2023/12/8/317811.phtml,20729
7,2023-08-12,Данилова Светлана Викторовна,703,Право,317810,https://adindex.ru/news/right/2023/12/8/317810.phtml,860
8,2023-08-12,Сидоров Антон Владимирович,18688,Право,317808,https://adindex.ru/news/right/2023/12/8/317808.phtml,25133
9,2023-08-12,Егорова Надежда Андреевна,13055,Право,317807,https://adindex.ru/news/right/2023/12/8/317807.phtml,16521
10,2023-08-12,Иванов Иван Иванович,1070,Право,317806,https://adindex.ru/news/right/2023/12/8/317806.phtml,1163
11,2023-08-12,Егорова Надежда Андреевна,10473,Тенденции,317805,https://adindex.ru/news/tendencies/2023/12/8/317805.phtml,11046
12,2023-08-12,Егорова Надежда Андреевна,18764,Право,317804,https://adindex.ru/news/right/2023/12/8/317804.phtml,23637
13,2023-07-12,Андреева Анастасия Андреевна,7856,Тенденции,317802,https://adindex.ru/news/tendencies/2023/12/7/317802.phtml,8485
14,2023-07-12,Васильева Екатерина Васильевна,12348,Социальные проекты,317801,https://adindex.ru/news/social_advertising/2023/12/7/317801.phtml,15017
15,2023-07-12,Данилова Светлана Викторовна,4692,Пресс-релизы,317796,https://adindex.ru/news/releases/2023/12/7/317796.phtml?erid=%202VtzqwzZA18,5493
