,date,author,visitors,post_tag,post_id,link,views
0,2023-12-13,Данилова Светлана Викторовна,1940,Тенденции,318261,https://adindex.ru/news/tendencies/2023/12/13/318261.phtml,2748
1,2023-12-13,Данилова Светлана Викторовна,12414,Креатив,318259,https://adindex.ru/news/creative/2023/12/13/318259.phtml,15366
2,2023-12-13,Данилова Светлана Викторовна,604,Тенденции,318152,https://adindex.ru/news/tendencies/2023/12/13/318152.phtml,891
3,2023-12-13,Григорьева Людмила Григорьевна,2696,Кадры,318149,https://adindex.ru/news/hr/2023/12/13/318149.phtml,3771
4,2023-12-13,Григорьева Людмила Григорьевна,161,Кадры,318116,https://adindex.ru/news/hr/2023/12/13/318116.phtml,205
5,2023-12-13,Андреева Анастасия Андреевна,17271,Социальные проекты,318115,https://adindex.ru/news/social_advertising/2023/12/13/318115.phtml,23101
6,2023-12-13,Жукова Ирина Ильинична,5236,Пресс-релизы,317945,https://adindex.ru/news/releases/2023/12/11/317945.phtml?erid=%202VtzqxRV5X1,7135
7,2023-12-13,Петрова Мария Сергеевна,4211,Агентства,317957,https://adindex.ru/news/agencies/2023/12/11/317957.phtml,5206
8,2023-12-13,Борисова Ольга Борисовна,1692,Тенденции,318095,https://adindex.ru/news/tendencies/2023/12/13/318095.phtml,2338
9,2023-12-13,Сидоров Антон Владимирович,5372,Право,318092,https://adindex.ru/news/right/2023/12/13/318092.phtml,5645
10,2023-12-13,Васильева Екатерина Васильевна,12792,Медиа,318090,https://adindex.ru/news/media/2023/12/13/318090.phtml,14946
11,2023-12-13,Егорова Надежда Андреевна,6345,Тенденции,318089,https://adindex.ru/news/tendencies/2023/12/13/318089.phtml,6918
12,2023-12-13,Егорова Надежда Андреевна,18273,Маркетинг,318088,https://adindex.ru/news/marketing/2023/12/13/318088.phtml,19650
13,2023-12-13,Васильева Екатерина Васильевна,15320,Медиа,318086,https://adindex.ru/news/media/2023/12/13/318086.phtml,15390
14,2023-12-13,Данилова Светлана Викторовна,5254,Маркетинг,318084,https://adindex.ru/news/marketing/2023/12/13/318084.phtml,5688
15,2023-12-13,Иванов Иван Иванович,15778,Тенденции,318083,https://adindex.ru/news/tendencies/2023/12/13/318083.phtml,16935
