,date,author,post_tag,post_id,link
0,2023-12-14,Сидоров Антон Владимирович,Тенденции,318374,https://adindex.ru/news/tendencies/2023/12/14/318374.phtml
1,2023-12-14,Борисова Ольга Борисовна,Право,318373,https://adindex.ru/news/right/2023/12/14/318373.phtml
2,2023-12-14,Васильева Екатерина Васильевна,Креатив,318371,https://adindex.ru/news/creative/2023/12/14/318371.phtml
3,2023-12-14,Жукова Ирина Ильинична,Исследования,318368,https://adindex.ru/news/researches/2023/12/14/318368.phtml
4,2023-12-14,Данилова Светлана Викторовна,Кадры,318366,https://adindex.ru/news/hr/2023/12/14/318366.phtml
5,2023-12-14,Васильева Екатерина Васильевна,Креатив,318361,https://adindex.ru/news/creative/2023/12/14/318361.phtml
6,2023-12-14,Андреева Анастасия Андреевна,Тенденции,318350,https://adindex.ru/news/tendencies/2023/12/14/318350.phtml
7,2023-12-14,Данилова Светлана Викторовна,Маркетинг,318336,https://adindex.ru/news/marketing/2023/12/14/318336.phtml
8,2023-12-14,Петрова Мария Сергеевна,Право,318335,https://adindex.ru/news/right/2023/12/14/318335.phtml
9,2023-12-14,Васильева Екатерина Васильевна,Digital,318334,https://adindex.ru/news/digital/2023/12/14/318334.phtml
10,2023-12-14,Егорова Надежда Андреевна,Маркетинг,318333,https://adindex.ru/news/marketing/2023/12/14/318333.phtml
11,2023-12-14,Петрова Мария Сергеевна,Право,318331,https://adindex.ru/news/right/2023/12/14/318331.phtml
12,2023-12-14,Григорьева Людмила Григорьевна,Digital,318330,https://adindex.ru/news/digital/2023/12/14/318330.phtml
13,2023-12-14,Васильева Екатерина Васильевна,Тенденции,318329,https://adindex.ru/news/tendencies/2023/12/14/318329.phtml
14,2023-12-14,Андреева Анастасия Андреевна,Право,318328,https://adindex.ru/news/right/2023/12/14/318328.phtml
15,2023-12-13,Андреева Анастасия Андреевна,Тенденции,318261,https://adindex.ru/news/tendencies/2023/12/13/318261.phtml
16,2023-12-13,Иванов Иван Иванович,Креатив,318259,https://adindex.ru/news/creative/2023/12/13/318259.phtml
17,2023-12-13,Егорова Надежда Андреевна,Тенденции,318152,https://adindex.ru/news/tendencies/2023/12/13/318152.phtml
18,2023-12-13,Борисова Ольга Борисовна,Кадры,318149,https://adindex.ru/news/hr/2023/12/13/318149.phtml
19,2023-12-13,Жукова Ирина Ильинична,Кадры,318116,https://adindex.ru/news/hr/2023/12/13/318116.phtml
20,2023-12-13,Григорьева Людмила Григорьевна,Социальные проекты,318115,https://adindex.ru/news/social_advertising/2023/12/13/318115.phtml
21,2023-12-13,Васильева Екатерина Васильевна,Пресс-релизы,317945,https://adindex.ru/news/releases/2023/12/11/317945.phtml?erid=%202VtzqxRV5X1
22,2023-12-13,Петрова Мария Сергеевна,Агентства,317957,https://adindex.ru/news/agencies/2023/12/11/317957.phtml
23,2023-12-13,Андреева Анастасия Андреевна,Тенденции,318095,https://adindex.ru/news/tendencies/2023/12/13/318095.phtml
24,2023-12-13,Петрова Мария Сергеевна,Право,318092,https://adindex.ru/news/right/2023/12/13/318092.phtml
25,2023-12-13,Жукова Ирина Ильинична,Медиа,318090,https://adindex.ru/news/media/2023/12/13/318090.phtml
26,2023-12-13,Егорова Надежда Андреевна,Тенденции,318089,https://adindex.ru/news/tendencies/2023/12/13/318089.phtml
27,2023-12-13,Григорьева Людмила Григорьевна,Маркетинг,318088,https://adindex.ru/news/marketing/2023/12/13/318088.phtml
28,2023-12-13,Васильева Екатерина Васильевна,Медиа,318086,https://adindex.ru/news/media/2023/12/13/318086.phtml
29,2023-12-13,Егорова Надежда Андреевна,Маркетинг,318084,https://adindex.ru/news/marketing/2023/12/13/318084.phtml
30,2023-12-13,Иванов Иван Иванович,Тенденции,318083,https://adindex.ru/news/tendencies/2023/12/13/318083.phtml
31,2023-12-13,Егорова Надежда Андреевна,Тенденции,318082,https://adindex.ru/news/tendencies/2023/12/13/318082.phtml
32,2023-12-12,Григорьева Людмила Григорьевна,Право,318081,https://adindex.ru/news/right/2023/12/12/318081.phtml
33,2023-12-12,Сидоров Антон Владимирович,Креатив,318080,https://adindex.ru/news/creative/2023/12/12/318080.phtml
34,2023-12-12,Борисова Ольга Борисовна,Право,318079,https://adindex.ru/news/right/2023/12/12/318079.phtml
35,2023-12-12,Сидоров Антон Владимирович,Право,318076,https://adindex.ru/news/right/2023/12/12/318076.phtml
36,2023-12-12,Егорова Надежда Андреевна,Социальные проекты,318017,https://adindex.ru/news/social_advertising/2023/12/12/318017.phtml
37,2023-12-12,Андреева Анастасия Андреевна,Digital,317999,https://adindex.ru/news/digital/2023/12/12/317999.phtml
38,2023-12-12,Васильева Екатерина Васильевна,Исследования,317997,https://adindex.ru/news/researches/2023/12/12/317997.phtml
39,2023-12-12,Сидоров Антон Владимирович,Исследования,317995,https://adindex.ru/news/researches/2023/12/12/317995.phtml
40,2023-12-12,Григорьева Людмила Григорьевна,Маркетинг,317993,https://adindex.ru/news/marketing/2023/12/12/317993.phtml
41,2023-12-12,Петрова Мария Сергеевна,Исследования,317965,https://adindex.ru/news/researches/2023/12/12/317965.phtml
42,2023-12-12,Григорьева Людмила Григорьевна,Социальные проекты,317977,https://adindex.ru/news/social_advertising/2023/12/12/317977.phtml
43,2023-12-12,Васильева Екатерина Васильевна,Маркетинг,317968,https://adindex.ru/news/marketing/2023/12/12/317968.phtml
44,2023-12-12,Иванов Иван Иванович,Право,317964,https://adindex.ru/news/right/2023/12/12/317964.phtml
45,2023-12-12,Сидоров Антон Владимирович,Тенденции,317963,https://adindex.ru/news/tendencies/2023/12/12/317963.phtml
46,2023-12-12,Борисова Ольга Борисовна,Digital,317961,https://adindex.ru/news/digital/2023/12/12/317961.phtml
47,2023-12-12,Сидоров Антон Владимирович,Тенденции,317960,https://adindex.ru/news/tendencies/2023/12/12/317960.phtml
48,2023-12-12,Данилова Светлана Викторовна,Право,317959,https://adindex.ru/news/right/2023/12/12/317959.phtml
49,2023-12-12,Петрова Мария Сергеевна,Тенденции,317958,https://adindex.ru/news/tendencies/2023/12/12/317958.phtml
50,2023-12-11,Васильева Екатерина Васильевна,Digital,317948,https://adindex.ru/news/digital/2023/12/11/317948.phtml
51,2023-12-11,Андреева Анастасия Андреевна,Тенденции,317946,https://adindex.ru/news/tendencies/2023/12/11/317946.phtml
52,2023-12-11,Сидоров Антон Владимирович,Креатив,317943,https://adindex.ru/news/creative/2023/12/11/317943.phtml
53,2023-12-11,Данилова Светлана Викторовна,Эккаунты,317936,https://adindex.ru/news/ek/2023/12/11/317936.phtml
54,2023-12-11,Борисова Ольга Борисовна,Креатив,317931,https://adindex.ru/news/creative/2023/12/11/317931.phtml
55,2023-12-11,Петрова Мария Сергеевна,Маркетинг,317929,https://adindex.ru/news/marketing/2023/12/11/317929.phtml
56,2023-12-11,Васильева Екатерина Васильевна,Маркетинг,317883,https://adindex.ru/news/marketing/2023/12/11/317883.phtml
57,2023-12-11,Егорова Надежда Андреевна,Медиа,317886,https://adindex.ru/news/media/2023/12/11/317886.phtml
58,2023-12-11,Борисова Ольга Борисовна,Креатив,317884,https://adindex.ru/news/creative/2023/12/11/317884.phtml
59,2023-12-11,Егорова Надежда Андреевна,Тенденции,317882,https://adindex.ru/news/tendencies/2023/12/11/317882.phtml
60,2023-12-11,Иванов Иван Иванович,Пресс-релизы,317881,https://adindex.ru/news/releases/2023/12/11/317881.phtml
61,2023-12-11,Жукова Ирина Ильинична,Тенденции,317879,https://adindex.ru/news/tendencies/2023/12/11/317879.phtml
62,2023-12-11,Петрова Мария Сергеевна,Тенденции,317878,https://adindex.ru/news/tendencies/2023/12/11/317878.phtml
63,2023-12-11,Иванов Иван Иванович,Тенденции,317877,https://adindex.ru/news/tendencies/2023/12/11/317877.phtml
64,2023-12-11,Андреева Анастасия Андреевна,Право,317876,https://adindex.ru/news/right/2023/12/11/317876.phtml
65,2023-12-11,Борисова Ольга Борисовна,Тенденции,317875,https://adindex.ru/news/tendencies/2023/12/11/317875.phtml
66,2023-12-11,Борисова Ольга Борисовна,Digital,317874,https://adindex.ru/news/digital/2023/12/11/317874.phtml
67,2023-12-08,Борисова Ольга Борисовна,Тенденции,317833,https://adindex.ru/news/tendencies/2023/12/8/317833.phtml
68,2023-12-08,Григорьева Людмила Григорьевна,Тенденции,317832,https://adindex.ru/news/tendencies/2023/12/8/317832.phtml
69,2023-12-08,Жукова Ирина Ильинична,Эккаунты,317827,https://adindex.ru/news/ek/2023/12/8/317827.phtml
70,2023-12-08,Григорьева Людмила Григорьевна,Креатив,317825,https://adindex.ru/news/creative/2023/12/8/317825.phtml
71,2023-12-08,Иванов Иван Иванович,Медиа,317821,https://adindex.ru/news/media/2023/12/8/317821.phtml
72,2023-12-08,Данилова Светлана Викторовна,Пресс-релизы,317797,https://adindex.ru/news/releases/2023/12/7/317797.phtml?erid=%202VtzqvcpebC
73,2023-12-08,Данилова Светлана Викторовна,Право,317818,https://adindex.ru/news/right/2023/12/8/317818.phtml
74,2023-12-08,Егорова Надежда Андреевна,Исследования,317816,https://adindex.ru/news/researches/2023/12/8/317816.phtml
75,2023-12-08,Григорьева Людмила Григорьевна,Digital,317813,https://adindex.ru/news/digital/2023/12/8/317813.phtml
76,2023-12-08,Васильева Екатерина Васильевна,Пресс-релизы,317795,https://adindex.ru/news/releases/2023/12/7/317795.phtml?erid=%202Vtzqwcfq9k
77,2023-12-08,Данилова Светлана Викторовна,Тенденции,317811,https://adindex.ru/news/tendencies/2023/12/8/317811.phtml
78,2023-12-08,Данилова Светлана Викторовна,Право,317810,https://adindex.ru/news/right/2023/12/8/317810.phtml
79,2023-12-08,Васильева Екатерина Васильевна,Право,317808,https://adindex.ru/news/right/2023/12/8/317808.phtml
80,2023-12-08,Григорьева Людмила Григорьевна,Право,317807,https://adindex.ru/news/right/2023/12/8/317807.phtml
81,2023-12-08,Борисова Ольга Борисовна,Право,317806,https://adindex.ru/news/right/2023/12/8/317806.phtml
82,2023-12-08,Иванов Иван Иванович,Тенденции,317805,https://adindex.ru/news/tendencies/2023/12/8/317805.phtml
83,2023-12-08,Жукова Ирина Ильинична,Право,317804,https://adindex.ru/news/right/2023/12/8/317804.phtml
84,2023-12-07,Егорова Надежда Андреевна,Тенденции,317802,https://adindex.ru/news/tendencies/2023/12/7/317802.phtml
85,2023-12-07,Данилова Светлана Викторовна,Социальные проекты,317801,https://adindex.ru/news/social_advertising/2023/12/7/317801.phtml
86,2023-12-07,Григорьева Людмила Григорьевна,Пресс-релизы,317796,https://adindex.ru/news/releases/2023/12/7/317796.phtml?erid=%202VtzqwzZA18
87,2023-12-07,Борисова Ольга Борисовна,Дизайн,317798,https://adindex.ru/news/design/2023/12/7/317798.phtml
88,2023-12-07,Григорьева Людмила Григорьевна,Пресс-релизы,317472,https://adindex.ru/news/releases/2023/11/27/317472.phtml?erid=%202VtzqwZHP6Z
89,2023-12-07,Жукова Ирина Ильинична,Тенденции,317783,https://adindex.ru/news/tendencies/2023/12/7/317783.phtml
90,2023-12-07,Васильева Екатерина Васильевна,Пресс-релизы,317745,https://adindex.ru/news/releases/2023/12/6/317745.phtml
91,2023-12-07,Васильева Екатерина Васильевна,Пресс-релизы,317754,https://adindex.ru/news/releases/2023/12/6/317754.phtml?erid=%202Vtzqx3mZtn
92,2023-12-07,Андреева Анастасия Андреевна,Право,317772,https://adindex.ru/news/right/2023/12/7/317772.phtml
93,2023-12-07,Сидоров Антон Владимирович,Маркетинг,317771,https://adindex.ru/news/marketing/2023/12/7/317771.phtml
94,2023-12-07,Иванов Иван Иванович,Тенденции,317770,https://adindex.ru/news/tendencies/2023/12/7/317770.phtml
