,date,author,post_tag,post_id,link
0,2023-12-18 19:03:00,Андреева Анастасия Андреевна,Эккаунты,318949,https://adindex.ru/news/ek/2023/12/18/318949.phtml
1,2023-12-18 18:51:00,Иванов Иван Иванович,Тенденции,318946,https://adindex.ru/news/tendencies/2023/12/18/318946.phtml
2,2023-12-18 18:48:00,Данилова Светлана Викторовна,Маркетинг,318945,https://adindex.ru/news/marketing/2023/12/18/318945.phtml
3,2023-12-18 18:31:00,Сидоров Антон Владимирович,Дизайн,318944,https://adindex.ru/news/design/2023/12/18/318944.phtml
4,2023-12-18 17:51:00,Васильева Екатерина Васильевна,Креатив,318936,https://adindex.ru/news/creative/2023/12/18/318936.phtml
5,2023-12-18 16:58:00,Андреева Анастасия Андреевна,Медиа,318923,https://adindex.ru/news/media/2023/12/18/318923.phtml
6,2023-12-18 14:32:00,Андреева Анастасия Андреевна,Digital,318864,https://adindex.ru/news/digital/2023/12/18/318864.phtml
7,2023-12-18 13:51:00,Петрова Мария Сергеевна,Право,318862,https://adindex.ru/news/right/2023/12/18/318862.phtml
8,2023-12-18 13:03:00,Петрова Мария Сергеевна,Пресс-релизы,318819,https://adindex.ru/news/releases/2023/12/18/318819.phtml?erid=%202VtzqwL6AtK
9,2023-12-18 12:53:00,Петрова Мария Сергеевна,Исследования,318849,https://adindex.ru/news/researches/2023/12/18/318849.phtml
10,2023-12-18 12:35:00,Жукова Ирина Ильинична,Исследования,318842,https://adindex.ru/news/researches/2023/12/18/318842.phtml
11,2023-12-18 11:18:00,Андреева Анастасия Андреевна,Медиа,318818,https://adindex.ru/news/media/2023/12/18/318818.phtml
12,2023-12-18 09:43:00,Васильева Екатерина Васильевна,Креатив,318793,https://adindex.ru/news/creative/2023/12/18/318793.phtml
13,2023-12-18 09:02:00,Данилова Светлана Викторовна,Тенденции,318791,https://adindex.ru/news/tendencies/2023/12/18/318791.phtml
14,2023-12-18 08:37:00,Васильева Екатерина Васильевна,Тенденции,318790,https://adindex.ru/news/tendencies/2023/12/18/318790.phtml
15,2023-12-18 07:49:00,Иванов Иван Иванович,Право,318789,https://adindex.ru/news/right/2023/12/18/318789.phtml
16,2023-12-18 07:29:00,Борисова Ольга Борисовна,Маркетинг,318788,https://adindex.ru/news/marketing/2023/12/18/318788.phtml
17,2023-12-18 07:18:00,Данилова Светлана Викторовна,Тенденции,318787,https://adindex.ru/news/tendencies/2023/12/18/318787.phtml
18,2023-12-18 07:08:00,Андреева Анастасия Андреевна,Кадры,318786,https://adindex.ru/news/hr/2023/12/18/318786.phtml
19,2023-12-16 12:00:00,Григорьева Людмила Григорьевна,Маркетинг,318768,https://adindex.ru/news/marketing/2023/12/15/318768.phtml
20,2023-12-15 20:25:00,Андреева Анастасия Андреевна,Медиа,318741,https://adindex.ru/news/media/2023/12/15/318741.phtml
21,2023-12-15 18:48:00,Андреева Анастасия Андреевна,Тенденции,318766,https://adindex.ru/news/tendencies/2023/12/15/318766.phtml
