,date,author,post_tag,post_id,link,Посетители,Читатели,Уникальные пользователи,% недочитываемости,Глубина просмотра,Ср. время на сайте (сек),0,Copywrite
0,2023-12-18 19:03:00,Петрова Мария Сергеевна,Эккаунты,318949.0,https://adindex.ru/news/ek/2023/12/18/318949.phtml,3.0,5.0,3.0,0.0,2.0,83.0,,
1,2023-12-18 18:51:00,Егорова Надежда Андреевна,Тенденции,318946.0,https://adindex.ru/news/tendencies/2023/12/18/318946.phtml,3.0,35.0,3.0,0.0,9.0,2033.0,,
2,2023-12-18 18:48:00,Жукова Ирина Ильинична,Маркетинг,318945.0,https://adindex.ru/news/marketing/2023/12/18/318945.phtml,11.0,51.0,11.0,0.0,2.0,39.0,,
3,2023-12-18 18:31:00,Григорьева Людмила Григорьевна,Дизайн,318944.0,https://adindex.ru/news/design/2023/12/18/318944.phtml,16.0,48.0,16.0,0.0,1.5,15.0,,
4,2023-12-18 17:51:00,Егорова Надежда Андреевна,Креатив,318936.0,https://adindex.ru/news/creative/2023/12/18/318936.phtml,9.0,56.0,9.0,25.0,6.0,1928.0,,
5,2023-12-18 16:58:00,Жукова Ирина Ильинична,Медиа,318923.0,https://adindex.ru/news/media/2023/12/18/318923.phtml,30.0,99.0,30.0,0.0,1.25,23.0,,
6,2023-12-18 14:32:00,Жукова Ирина Ильинична,Digital,318864.0,https://adindex.ru/news/digital/2023/12/18/318864.phtml,11.0,45.0,11.0,10.0,4.233333335,146.0,,
7,2023-12-18 13:51:00,Жукова Ирина Ильинична,Право,318862.0,https://adindex.ru/news/right/2023/12/18/318862.phtml,20.0,100.0,20.0,0.0,4.5,86.0,,
8,2023-12-18 12:53:00,Васильева Екатерина Васильевна,Исследования,318849.0,https://adindex.ru/news/researches/2023/12/18/318849.phtml,29.0,69.0,28.0,0.0,4.0,67.0,,
9,2023-12-18 12:35:00,Васильева Екатерина Васильевна,Исследования,318842.0,https://adindex.ru/news/researches/2023/12/18/318842.phtml,25.0,69.0,25.0,0.0,1.25,192.725,,
10,2023-12-18 11:18:00,Данилова Светлана Викторовна,Медиа,318818.0,https://adindex.ru/news/media/2023/12/18/318818.phtml,31.0,105.0,30.0,12.5,1.5833333325,44.930555555,,
