,date,author,post_tag,post_id,link,Посетители,Читатели,Уникальные пользователи,% недочитываемости,Глубина просмотра,Ср. время на сайте (сек),0
0,2023-12-18 19:03:00,Иванов Иван Иванович,Эккаунты,318949,https://adindex.ru/news/ek/2023/12/18/318949.phtml,3.0,5.0,3.0,0.0,2.0,83.0,
1,2023-12-18 18:51:00,Жукова Ирина Ильинична,Тенденции,318946,https://adindex.ru/news/tendencies/2023/12/18/318946.phtml,2.0,34.0,2.0,0.0,17.0,4050.0,
2,2023-12-18 18:48:00,Андреева Анастасия Андреевна,Маркетинг,318945,https://adindex.ru/news/marketing/2023/12/18/318945.phtml,11.0,51.0,11.0,0.0,2.0,39.0,
3,2023-12-18 18:31:00,Григорьева Людмила Григорьевна,Дизайн,318944,https://adindex.ru/news/design/2023/12/18/318944.phtml,14.0,46.0,14.0,5.0,1.6,77.0,
4,2023-12-18 17:51:00,Сидоров Антон Владимирович,Креатив,318936,https://adindex.ru/news/creative/2023/12/18/318936.phtml,7.0,54.0,7.0,0.0,6.25,1934.75,
5,2023-12-18 16:58:00,Сидоров Антон Владимирович,Медиа,318923,https://adindex.ru/news/media/2023/12/18/318923.phtml,29.0,97.0,29.0,0.0,1.0714285700000001,23.0,
6,2023-12-18 14:32:00,Борисова Ольга Борисовна,Digital,318864,https://adindex.ru/news/digital/2023/12/18/318864.phtml,11.0,45.0,11.0,10.0,4.233333335,146.0,
7,2023-12-18 13:51:00,Данилова Светлана Викторовна,Право,318862,https://adindex.ru/news/right/2023/12/18/318862.phtml,20.0,100.0,20.0,0.0,4.5,86.0,
8,2023-12-18 12:53:00,Сидоров Антон Владимирович,Исследования,318849,https://adindex.ru/news/researches/2023/12/18/318849.phtml,28.0,68.0,27.0,0.0,4.0,67.0,
9,2023-12-18 12:35:00,Андреева Анастасия Андреевна,Исследования,318842,https://adindex.ru/news/researches/2023/12/18/318842.phtml,23.0,61.0,23.0,0.0,1.1666666650000002,141.433333335,
10,2023-12-18 11:18:00,Андреева Анастасия Андреевна,Медиа,318818,https://adindex.ru/news/media/2023/12/18/318818.phtml,31.0,105.0,30.0,12.5,1.5833333325,44.930555555,
11,2023-12-18 09:43:00,Борисова Ольга Борисовна,Креатив,318793,https://adindex.ru/news/creative/2023/12/18/318793.phtml,40.0,167.0,39.0,0.0,2.5,116.73026315999999,
12,2023-12-18 09:02:00,Борисова Ольга Борисовна,Тенденции,318791,https://adindex.ru/news/tendencies/2023/12/18/318791.phtml,30.0,120.0,29.0,0.0,3.0,138.33333333,
13,2023-12-18 08:37:00,Иванов Иван Иванович,Тенденции,318790,https://adindex.ru/news/tendencies/2023/12/18/318790.phtml,48.0,96.0,44.0,0.0,1.6,27.8,
14,2023-12-18 07:49:00,Егорова Надежда Андреевна,Право,318789,https://adindex.ru/news/right/2023/12/18/318789.phtml,23.0,95.0,22.0,20.0,1.0,15.0,
15,2023-12-18 07:29:00,Борисова Ольга Борисовна,Маркетинг,318788,https://adindex.ru/news/marketing/2023/12/18/318788.phtml,18.0,74.0,16.0,0.0,2.583333335,147.25,
16,2023-12-18 07:18:00,Андреева Анастасия Андреевна,Тенденции,318787,https://adindex.ru/news/tendencies/2023/12/18/318787.phtml,77.0,146.0,76.0,0.0,2.2669491525,124.3333333325,
17,2023-12-18 07:08:00,Борисова Ольга Борисовна,Кадры,318786,https://adindex.ru/news/hr/2023/12/18/318786.phtml,94.0,142.0,90.0,0.0,1.0,15.0,
