,date,author,visitors,post_tag,post_id,link,views
0,2023-08-12,Васильева Екатерина Васильевна,11200,Эккаунты,317827,https://adindex.ru/news/ek/2023/12/8/317827.phtml,13705
1,2023-08-12,Егорова Надежда Андреевна,4629,Креатив,317825,https://adindex.ru/news/creative/2023/12/8/317825.phtml,6864
2,2023-08-12,Данилова Светлана Викторовна,18485,Медиа,317821,https://adindex.ru/news/media/2023/12/8/317821.phtml,25041
3,2023-08-12,Григорьева Людмила Григорьевна,1307,Пресс-релизы,317797,https://adindex.ru/news/releases/2023/12/7/317797.phtml?erid=%202VtzqvcpebC,1668
4,2023-08-12,Петрова Мария Сергеевна,19905,Право,317818,https://adindex.ru/news/right/2023/12/8/317818.phtml,26799
5,2023-08-12,Григорьева Людмила Григорьевна,5286,Исследования,317816,https://adindex.ru/news/researches/2023/12/8/317816.phtml,7631
6,2023-08-12,Андреева Анастасия Андреевна,6867,Digital,317813,https://adindex.ru/news/digital/2023/12/8/317813.phtml,8224
7,2023-08-12,Андреева Анастасия Андреевна,2029,Пресс-релизы,317795,https://adindex.ru/news/releases/2023/12/7/317795.phtml?erid=%202Vtzqwcfq9k,2932
8,2023-08-12,Жукова Ирина Ильинична,13093,Тенденции,317811,https://adindex.ru/news/tendencies/2023/12/8/317811.phtml,13551
9,2023-08-12,Васильева Екатерина Васильевна,9385,Право,317810,https://adindex.ru/news/right/2023/12/8/317810.phtml,13053
10,2023-08-12,Григорьева Людмила Григорьевна,2123,Право,317808,https://adindex.ru/news/right/2023/12/8/317808.phtml,2785
11,2023-08-12,Григорьева Людмила Григорьевна,14728,Право,317807,https://adindex.ru/news/right/2023/12/8/317807.phtml,16799
12,2023-08-12,Андреева Анастасия Андреевна,19330,Право,317806,https://adindex.ru/news/right/2023/12/8/317806.phtml,26694
13,2023-08-12,Иванов Иван Иванович,9999,Тенденции,317805,https://adindex.ru/news/tendencies/2023/12/8/317805.phtml,11598
14,2023-08-12,Иванов Иван Иванович,8782,Право,317804,https://adindex.ru/news/right/2023/12/8/317804.phtml,11599
15,2023-07-12,Борисова Ольга Борисовна,12009,Тенденции,317802,https://adindex.ru/news/tendencies/2023/12/7/317802.phtml,17369
16,2023-07-12,Данилова Светлана Викторовна,19908,Социальные проекты,317801,https://adindex.ru/news/social_advertising/2023/12/7/317801.phtml,24135
17,2023-07-12,Сидоров Антон Владимирович,15954,Пресс-релизы,317796,https://adindex.ru/news/releases/2023/12/7/317796.phtml?erid=%202VtzqwzZA18,17418
18,2023-07-12,Сидоров Антон Владимирович,6551,Дизайн,317798,https://adindex.ru/news/design/2023/12/7/317798.phtml,7916
19,2023-07-12,Григорьева Людмила Григорьевна,18488,Пресс-релизы,317472,https://adindex.ru/news/releases/2023/11/27/317472.phtml?erid=%202VtzqwZHP6Z,25902
20,2023-07-12,Петрова Мария Сергеевна,7291,Тенденции,317783,https://adindex.ru/news/tendencies/2023/12/7/317783.phtml,7932
