,date,author,post_tag,post_id,link
0,2023-12-14,Петрова Мария Сергеевна,Тенденции,318374,https://adindex.ru/news/tendencies/2023/12/14/318374.phtml
1,2023-12-14,Григорьева Людмила Григорьевна,Право,318373,https://adindex.ru/news/right/2023/12/14/318373.phtml
2,2023-12-14,Иванов Иван Иванович,Креатив,318371,https://adindex.ru/news/creative/2023/12/14/318371.phtml
3,2023-12-14,Жукова Ирина Ильинична,Исследования,318368,https://adindex.ru/news/researches/2023/12/14/318368.phtml
4,2023-12-14,Жукова Ирина Ильинична,Кадры,318366,https://adindex.ru/news/hr/2023/12/14/318366.phtml
5,2023-12-14,Борисова Ольга Борисовна,Креатив,318361,https://adindex.ru/news/creative/2023/12/14/318361.phtml
6,2023-12-14,Васильева Екатерина Васильевна,Тенденции,318350,https://adindex.ru/news/tendencies/2023/12/14/318350.phtml
7,2023-12-14,Жукова Ирина Ильинична,Маркетинг,318336,https://adindex.ru/news/marketing/2023/12/14/318336.phtml
8,2023-12-14,Петрова Мария Сергеевна,Право,318335,https://adindex.ru/news/right/2023/12/14/318335.phtml
9,2023-12-14,Сидоров Антон Владимирович,Digital,318334,https://adindex.ru/news/digital/2023/12/14/318334.phtml
10,2023-12-14,Васильева Екатерина Васильевна,Маркетинг,318333,https://adindex.ru/news/marketing/2023/12/14/318333.phtml
11,2023-12-14,Иванов Иван Иванович,Право,318331,https://adindex.ru/news/right/2023/12/14/318331.phtml
12,2023-12-14,Васильева Екатерина Васильевна,Digital,318330,https://adindex.ru/news/digital/2023/12/14/318330.phtml
13,2023-12-14,Петрова Мария Сергеевна,Тенденции,318329,https://adindex.ru/news/tendencies/2023/12/14/318329.phtml
14,2023-12-14,Данилова Светлана Викторовна,Право,318328,https://adindex.ru/news/right/2023/12/14/318328.phtml
15,2023-12-13,Петрова Мария Сергеевна,Тенденции,318261,https://adindex.ru/news/tendencies/2023/12/13/318261.phtml
16,2023-12-14,Григорьева Людмила Григорьевна,Тенденции,318374,https://adindex.ru/news/tendencies/2023/12/14/318374.phtml
17,2023-12-14,Васильева Екатерина Васильевна,Право,318373,https://adindex.ru/news/right/2023/12/14/318373.phtml
18,2023-12-14,Егорова Надежда Андреевна,Креатив,318371,https://adindex.ru/news/creative/2023/12/14/318371.phtml
19,2023-12-14,Андреева Анастасия Андреевна,Исследования,318368,https://adindex.ru/news/researches/2023/12/14/318368.phtml
20,2023-12-14,Андреева Анастасия Андреевна,Кадры,318366,https://adindex.ru/news/hr/2023/12/14/318366.phtml
21,2023-12-14,Андреева Анастасия Андреевна,Креатив,318361,https://adindex.ru/news/creative/2023/12/14/318361.phtml
22,2023-12-14,Данилова Светлана Викторовна,Тенденции,318350,https://adindex.ru/news/tendencies/2023/12/14/318350.phtml
23,2023-12-14,Егорова Надежда Андреевна,Маркетинг,318336,https://adindex.ru/news/marketing/2023/12/14/318336.phtml
24,2023-12-14,Андреева Анастасия Андреевна,Право,318335,https://adindex.ru/news/right/2023/12/14/318335.phtml
25,2023-12-14,Васильева Екатерина Васильевна,Digital,318334,https://adindex.ru/news/digital/2023/12/14/318334.phtml
26,2023-12-14,Андреева Анастасия Андреевна,Маркетинг,318333,https://adindex.ru/news/marketing/2023/12/14/318333.phtml
27,2023-12-14,Борисова Ольга Борисовна,Право,318331,https://adindex.ru/news/right/2023/12/14/318331.phtml
28,2023-12-14,Егорова Надежда Андреевна,Digital,318330,https://adindex.ru/news/digital/2023/12/14/318330.phtml
29,2023-12-14,Жукова Ирина Ильинична,Тенденции,318329,https://adindex.ru/news/tendencies/2023/12/14/318329.phtml
30,2023-12-14,Сидоров Антон Владимирович,Право,318328,https://adindex.ru/news/right/2023/12/14/318328.phtml
31,2023-12-13,Сидоров Антон Владимирович,Тенденции,318261,https://adindex.ru/news/tendencies/2023/12/13/318261.phtml
32,2023-12-13,Жукова Ирина Ильинична,Креатив,318259,https://adindex.ru/news/creative/2023/12/13/318259.phtml
