,date,Автор,Название,post_tag,post_id,Ссылка,Посетители,Читатели,Уникальные пользователи,% недочитываемости,Глубина просмотра,Ср. время на сайте (сек),0
0,2024-05-28 16:25:00,Андреева Анастасия Андреевна,Число самозанятых на маркетплейсах сократилось на 10%,Тенденции,322905,https://adindex.ru/news/tendencies/2024/05/28/322905.phtml,4.0,37.0,4.0,0.0,4.0,186.0,
1,2024-05-28 16:06:00,Жукова Ирина Ильинична,«МегаФон» рассказал в рекламном ролике о бесплатной МегаСиле «Связь при нуле»,Пресс-релизы,322869,https://adindex.ru/news/releases/2024/05/27/322869.phtml?erid=2VtzqxB458H,6.0,32.0,6.0,0.0,5.5,203.66666667,
2,2024-05-28 15:30:00,Данилова Светлана Викторовна,«Яндекс» сменил коммерческого директора,Кадры,322903,https://adindex.ru/news/hr/2024/05/28/322903.phtml,50.0,145.0,50.0,3.57,1.9223809524999997,111.2,
3,2024-05-28 14:42:00,Петрова Мария Сергеевна,Влад А4 представил «топовое» возвращение «Скрепышей»,Креатив,322899,https://adindex.ru/news/creative/2024/05/28/322899.phtml,29.0,100.0,29.0,25.0,2.75,245.4,
4,2024-05-28 13:59:00,Иванов Иван Иванович,Школьники выбрали профессии будущего в центре профтестирования,Пресс-релизы,322895,https://adindex.ru/news/releases/2024/05/28/322895.phtml?erid=2VtzqwFfqiM,2.0,18.0,2.0,0.0,9.0,689.5,
5,2024-05-28 13:07:00,Иванов Иван Иванович,Бренд «Банки.ру» перешел на кириллицу в логотипе,Маркетинг,322897,https://adindex.ru/news/marketing/2024/05/28/322897.phtml,39.0,140.0,37.0,7.142857145,2.39849624,353.736842105,
6,2024-05-28 12:00:00,Григорьева Людмила Григорьевна,Конференция «Запуск и продажи новых продуктов в B2B & ENTERPRISE» пройдет 5 июня,Пресс-релизы,322900,https://adindex.ru/news/releases/2024/05/28/322900.phtml,2.0,3.0,2.0,0.0,1.5,37.5,
7,2024-05-28 12:00:00,Данилова Светлана Викторовна,«Яндекс» представил нейросеть YandexGPT Lite третьего поколения,Digital,322893,https://adindex.ru/news/digital/2024/05/28/322893.phtml,18.0,103.0,18.0,0.0,5.0,122.77777778,
8,2024-05-28 10:52:00,Григорьева Людмила Григорьевна,Короткие ролики стали самым быстрорастущим трендом во «ВКонтакте»,Исследования,322890,https://adindex.ru/news/researches/2024/05/28/322890.phtml,23.0,98.0,23.0,0.0,2.5,144.225,
9,2024-05-28 10:00:00,Сидоров Антон Владимирович,Команда КВН «Русская дорога» создала одноименное шоу для СТС,Медиа,322879,https://adindex.ru/news/media/2024/05/27/322879.phtml,39.0,87.0,39.0,6.25,1.3333333349999998,56.25,
10,2024-05-28 09:40:00,Жукова Ирина Ильинична,«Газпром-Медиа» представил первый мульткаст с использованием ИИ,Digital,322888,https://adindex.ru/news/digital/2024/05/28/322888.phtml,17.0,95.0,17.0,0.0,3.75,272.46428571499996,
11,2024-05-28 09:28:00,Данилова Светлана Викторовна,В Госдуму внесен законопроект об уголовной ответственности за дипфейки,Право,322885,https://adindex.ru/news/right/2024/05/28/322885.phtml,18.0,86.0,17.0,0.0,4.083333335,440.5,
12,2024-05-28 08:39:00,Петрова Мария Сергеевна,«Балтика» выбыла из топ-10 самых популярных напитков,Тенденции,322886,https://adindex.ru/news/tendencies/2024/05/28/322886.phtml,100.0,163.0,100.0,26.666666665,1.180365295,25.3652968,
13,2024-05-28 08:01:00,Борисова Ольга Борисовна,Онлайн-кинотеатр Wink начнет работать в странах СНГ,Digital,322883,https://adindex.ru/news/digital/2024/05/28/322883.phtml,8.0,25.0,8.0,62.5,2.1666666675,67.16666666750001,
14,2024-05-28 07:43:00,Данилова Светлана Викторовна,«Вкусно — и точка» откроет 50 новых заведений в этом году,Маркетинг,322881,https://adindex.ru/news/marketing/2024/05/28/322881.phtml,13.0,39.0,13.0,0.0,3.0,75.5,
