,date,author,post_name,post_tag,post_id,link,Посетители,Читатели,Уникальные пользователи,% недочитываемости,Глубина просмотра,Ср. время на сайте (сек)
0,2024-06-14 18:23:00,Елизавета Ронжина,Ozon «доставил» Оксану Самойлову в розовой коробке,Маркетинг,323378,https://adindex.ru/news/marketing/2024/06/14/323378.phtml,113.0,245.0,110.0,33.4883720925,1.5331081075,449.475
1,2024-06-14 17:26:00,Елизавета Ронжина,"Киностудия Starbucks, дезинформация в X и рекламные амбиции Spotify — обзор новостей в зарубежных СМИ",Тенденции,323376,https://adindex.ru/news/tendencies/2024/06/14/323376.phtml,25.0,156.0,25.0,0.0,2.633333335,192.2
2,2024-06-14 16:20:00,Елизавета Ронжина,Apple стала самым дорогим брендом третий год подряд,Тенденции,323375,https://adindex.ru/news/tendencies/2024/06/14/323375.phtml,29.0,164.0,28.0,0.0,5.333333335,251.833333335
3,2024-06-14 15:13:00,Не указан,К полету готовы! Объявлены первые спикеры AdIndex City Conference 2024,Пресс-релизы,323373,https://adindex.ru/news/releases/2024/06/14/323373.phtml,19.0,79.0,19.0,0.0,2.5,779.14285714
4,2024-06-14 14:35:00,Алена Зиннатова,В ритме вальса: Samsung создал кроссовки для управления смартфоном во время танца,Digital,323372,https://adindex.ru/news/digital/2024/06/14/323372.phtml,33.0,232.0,32.0,0.0,1.642857145,74.142857145
5,2024-06-14 13:30:00,Не указан,«Дзен» открыл свое кафе в Москве,Маркетинг,323371,https://adindex.ru/news/marketing/2024/06/14/323371.phtml,101.0,350.0,91.0,0.0,1.5,26.583333335
6,2024-06-14 12:34:00,Не указан,Вадим Мельников возглавит дивизион Performance в Kokoc Group,Пресс-релизы,323365,https://adindex.ru/news/releases/2024/06/14/323365.phtml,11.0,25.0,10.0,0.0,2.133333335,44.966666665
7,2024-06-14 12:31:00,Елизавета Ронжина,Головы Jony и Gayazov$ Brother анонсировали свои песни на «Звуке»,Креатив,323369,https://adindex.ru/news/creative/2024/06/14/323369.phtml,34.0,206.0,32.0,0.0,2.4183333325,72.515151515
8,2024-06-14 11:00:00,Валентина Буйлова,Каждый четвертый блогер переживает из-за отсутствия рекламодателей,Тенденции,323364,https://adindex.ru/news/tendencies/2024/06/14/323364.phtml,30.0,262.0,27.0,22.142857145,8.0,676.0
9,2024-06-14 10:00:00,Не указан,ФАС оштрафовала «Яндекс» за ненадлежащую рекламу,Право,323363,https://adindex.ru/news/right/2024/06/14/323363.phtml,35.0,261.0,34.0,0.0,4.6875,201.5
10,2024-06-14 09:33:00,Валентина Буйлова,Coca-Cola подала заявку на регистрацию своих товарных знаков в России,Право,323362,https://adindex.ru/news/right/2024/06/14/323362.phtml,34.0,234.0,33.0,0.0,4.5434782600000005,277.717391305
11,2024-06-14 09:02:00,Не указан,Дефицит кадров в торговле стал самым масштабным за последние 20 лет,Тенденции,323361,https://adindex.ru/news/tendencies/2024/06/14/323361.phtml,66.0,334.0,65.0,0.0,2.66294643,186.69047619000003
12,2024-06-14 08:33:00,Валентина Буйлова,«Яндекс» создаст отдельный бренд для роботов-доставщиков,Digital,323360,https://adindex.ru/news/digital/2024/06/14/323360.phtml,28.0,253.0,27.0,0.0,4.0,446.07142857
13,2024-06-14 07:51:00,Не указан,Количество недовольных новыми брендами увеличилось на 16%,Тенденции,323359,https://adindex.ru/news/tendencies/2024/06/14/323359.phtml,31.0,247.0,30.0,0.0,2.6,370.5
14,2024-06-14 07:42:00,Не указан,Вырос спрос на специалистов со знаниями нюансов маркировки интернет-рекламы,Тенденции,323358,https://adindex.ru/news/tendencies/2024/06/14/323358.phtml,16.0,190.0,14.0,0.0,4.125,165.5
15,2024-06-14 07:29:00,Не указан,Сеть детских товаров «Кораблик» начала закрывать магазины,Маркетинг,323357,https://adindex.ru/news/marketing/2024/06/14/323357.phtml,62.0,208.0,57.0,0.0,1.4,21.6
16,2024-06-14 07:20:00,Валентина Буйлова,Блогеры не поддержали отраслевые законопроекты,Право,323356,https://adindex.ru/news/right/2024/06/14/323356.phtml,21.0,169.0,19.0,0.0,3.916666665,443.0
17,2024-06-13 18:15:00,Не указан,"АКАР, АРИР и РОЦИТ провели новое исследование соцсетей",Пресс-релизы,323352,https://adindex.ru/news/releases/2024/06/13/323352.phtml,30.0,133.0,27.0,0.0,3.83333333,125.0
18,2024-06-13 17:36:00,Не указан,«Яндекс» купил eLama,Digital,323353,https://adindex.ru/news/digital/2024/06/13/323353.phtml,130.0,415.0,126.0,0.0,2.0,106.5
19,2024-06-13 16:34:00,Не указан,«Российская креативная неделя» пройдет в Москве,Пресс-релизы,323346,https://adindex.ru/news/releases/2024/06/13/323346.phtml,17.0,117.0,17.0,0.0,10.25,739.0
20,2024-06-13 16:30:00,Не указан,Финал исследования об использовании ИИ в маркетинге состоится 25 июня в НИУ ВШЭ,Пресс-релизы,323349,https://adindex.ru/news/releases/2024/06/13/323349.phtml,5.0,26.0,5.0,0.0,6.0,323.0
21,2024-06-13 16:14:00,Не указан,«Мегамаркет» и OBI стали партнерами,Маркетинг,323350,https://adindex.ru/news/marketing/2024/06/13/323350.phtml,42.0,111.0,41.0,0.0,2.33333333,57.36363636
22,2024-06-13 14:24:00,Не указан,В «Магнит Косметик» будут продавать коллекцию мужских ароматов Henderson,Маркетинг,323345,https://adindex.ru/news/marketing/2024/06/13/323345.phtml,21.0,52.0,20.0,0.0,2.22222222,173.0
23,2024-06-13 13:27:00,Не указан,В России прошло первое углеродно-нейтральное соревнование по киберспорту,Пресс-релизы,323340,https://adindex.ru/news/releases/2024/06/13/323340.phtml,13.0,46.0,13.0,0.0,2.25,31.375
24,2024-06-13 12:14:00,Не указан,Divan.ru сменил логотип,Дизайн,323341,https://adindex.ru/news/design/2024/06/13/323341.phtml,70.0,308.0,66.0,14.285,1.8250000000000002,143.305
25,2024-06-13 10:40:00,Не указан,Ида Галич стала амбассадором «Актибио» в магазинах X5,Маркетинг,323339,https://adindex.ru/news/marketing/2024/06/13/323339.phtml,54.0,220.0,51.0,12.5,2.125,181.06
26,2024-06-13 09:27:00,Не указан,ФАС не обнаружила плагиат в обложке «Букваря»,Право,323338,https://adindex.ru/news/right/2024/06/13/323338.phtml,24.0,88.0,23.0,0.0,2.4861111124999997,371.2083333325
27,2024-06-13 08:43:00,Не указан,Новые санкции США запретили оказывать России ряд услуг в сфере IT,Право,323337,https://adindex.ru/news/right/2024/06/13/323337.phtml,100.0,172.0,99.0,0.0,1.1,23.5
28,2024-06-13 07:59:00,Не указан,Grow Food создал франшизу на открытие кафе,Маркетинг,323336,https://adindex.ru/news/marketing/2024/06/13/323336.phtml,24.0,96.0,22.0,20.0,1.0,15.0
29,2024-06-13 07:43:00,Не указан,«Яндекс Путешествия» подключил возможность бронирования апартаментов,Маркетинг,323335,https://adindex.ru/news/marketing/2024/06/13/323335.phtml,40.0,116.0,40.0,12.5,2.67857143,25.25
30,2024-06-13 07:31:00,Не указан,Спрос на ИИ у российских дизайнеров стал больше на 212%,Тенденции,323334,https://adindex.ru/news/tendencies/2024/06/13/323334.phtml,25.0,103.0,23.0,0.0,2.1785714275,117.214285715
31,2024-06-13 07:22:00,Не указан,Продажи бумажных книг на онлайн-площадках впервые достигли более 50%,Тенденции,323333,https://adindex.ru/news/tendencies/2024/06/13/323333.phtml,16.0,107.0,16.0,0.0,2.66666667,262.0
32,2024-06-11 17:28:00,Елизавета Ронжина,Lamoda выпустила свой обувной бренд,Маркетинг,323332,https://adindex.ru/news/marketing/2024/06/11/323332.phtml,36.0,296.0,33.0,0.0,4.0,181.66666667
33,2024-06-11 15:10:00,Елизавета Ронжина,Актеры сериала «Слово пацана» перепели песню «Малинки» для Wink,Креатив,323331,https://adindex.ru/news/creative/2024/06/11/323331.phtml,100.0,274.0,98.0,6.0,1.24,17.0
34,2024-06-11 15:00:00,Не указан,10 рейтинг Technology Index. Лучшие платформы автоматизации кампаний в интернете в 2024 году,Digital,323327,https://adindex.ru/news/digital/2024/06/11/323327.phtml,153.0,451.0,135.0,0.0,2.375,289.875
35,2024-06-11 13:35:00,Елизавета Ронжина,Pinterest отправил пользователей в путешествие по эстетике,Креатив,323329,https://adindex.ru/news/creative/2024/06/11/323329.phtml,52.0,261.0,49.0,29.1666666675,2.2156862725,184.9795751625
36,2024-06-11 13:12:00,Не указан,Оператор наружной рекламы RGB Graphics разместил новый медиафасад в ЦАО Москвы,Пресс-релизы,323319,https://adindex.ru/news/releases/2024/06/11/323319.phtml?erid=2VtzqvEeDUi,19.0,152.0,19.0,0.0,7.66666667,434.66666667
37,2024-06-11 11:29:00,Елизавета Ронжина,«Пятерочка» назначила нового руководителя маркетинговых коммуникаций,Кадры,323307,https://adindex.ru/news/hr/2024/06/11/323307.phtml,897.0,1581.0,879.0,3.57,1.9649999999999999,119.82666666499999
38,2024-06-11 10:55:00,Елизавета Ронжина,Директор по маркетингу O’Stin перешел в «Инвитро»,Кадры,323290,https://adindex.ru/news/hr/2024/06/11/323290.phtml,87.0,436.0,81.0,0.925925925,3.45,189.712962965
39,2024-06-11 10:46:00,Не указан,Estee Lauder подала заявку на регистрацию бренда Tom Ford в России,Право,323285,https://adindex.ru/news/right/2024/06/11/323285.phtml,29.0,233.0,29.0,0.0,8.1,423.366666665
40,2024-06-11 09:11:00,Не указан,Более 20 проектов компьютерных игр могут получить поддержку ИРИ,Digital,323263,https://adindex.ru/news/digital/2024/06/11/323263.phtml,70.0,188.0,69.0,0.0,4.666666665,402.66666667000004
41,2024-06-11 08:30:00,Не указан,Российское подразделение GfK будет продано местному менеджменту,Право,323257,https://adindex.ru/news/right/2024/06/11/323257.phtml,45.0,194.0,38.0,25.0,1.7201704549999999,71.470170455
42,2024-06-11 07:42:00,Не указан,Объем производства одежды вырос в стране более чем на 24%,Тенденции,323255,https://adindex.ru/news/tendencies/2024/06/11/323255.phtml,21.0,139.0,21.0,0.0,3.283333335,462.966666665
43,2024-06-11 07:33:00,Не указан,Ретейлеры начали продавать свои СТМ на других площадках,Маркетинг,323254,https://adindex.ru/news/marketing/2024/06/11/323254.phtml,36.0,243.0,35.0,50.0,2.357142855,92.0
44,2024-06-10 21:05:00,Не указан,"Свобода иконкам, фейсконтроль к приложениям и новый интеллект — Apple показала новые продукты на WWDC 2024",Digital,323253,https://adindex.ru/news/digital/2024/06/10/323253.phtml,52.0,321.0,49.0,0.0,3.9,580.85
45,2024-06-10 18:27:00,Елизавета Ронжина,Экс-директор по маркетингу «Самоката» перешел в «билайн»,Кадры,323251,https://adindex.ru/news/hr/2024/06/10/323251.phtml,138.0,464.0,125.0,15.760869565,2.06060606,82.5
46,2024-06-10 18:06:00,Елизавета Худоятова,"Брендлокатор. Подрядчиков ищут: Тele2, «билайн», «ВКонтакте»",Эккаунты,323249,https://adindex.ru/news/ek/2024/06/10/323249.phtml,40.0,281.0,38.0,12.5,3.0,289.391666665
47,2024-06-10 17:50:00,Елизавета Ронжина,Экс-глава Premier стала гендиректором «МТС медиа»,Кадры,323247,https://adindex.ru/news/hr/2024/06/10/323247.phtml,72.0,306.0,69.0,0.0,2.0,267.0
48,2024-06-10 17:10:00,Елизавета Ронжина,Суд вынес определение об аресте денег на счетах российских агентств по искам «дочки» Google,Право,323244,https://adindex.ru/news/right/2024/06/10/323244.phtml,279.0,661.0,254.0,2.78,1.13,47.89
49,2024-06-10 15:38:00,Елизавета Ронжина,Михаил Петрухин стал новым директором по маркетингу «Самоката»,Кадры,323243,https://adindex.ru/news/hr/2024/06/10/323243.phtml,204.0,518.0,193.0,8.335,1.9775,77.77250000000001
50,2024-06-10 14:41:00,Не указан,НИУ ВШЭ и ГК Игроник заключили соглашение о сотрудничестве,Пресс-релизы,323233,https://adindex.ru/news/releases/2024/06/10/323233.phtml?erid=2VtzqwJSUPp,17.0,111.0,17.0,0.0,5.5,663.5
51,2024-06-10 13:32:00,Елизавета Ронжина,«Дикси» создал формат ультрамалых магазинов,Маркетинг,323241,https://adindex.ru/news/marketing/2024/06/10/323241.phtml,50.0,264.0,48.0,0.0,3.0,108.0
52,2024-06-10 12:00:00,Елизавета Ронжина,"Merhaba, Марина! Звезда «Великолепного века» постучалась в двери фанатов турецких сериалов",Креатив,323240,https://adindex.ru/news/creative/2024/06/10/323240.phtml,239.0,581.0,215.0,3.333333335,1.0833333349999998,19.916666665
53,2024-06-10 11:27:00,Не указан,Бренды смогут добавлять таргетинг в Telegram Ads по данным программы лояльности «Магнита»,Digital,323238,https://adindex.ru/news/digital/2024/06/10/323238.phtml,56.0,385.0,55.0,0.0,3.772727275,322.0
54,2024-06-10 10:16:00,Не указан,«Букмейт» создал виртуального рассказчика,Digital,323234,https://adindex.ru/news/digital/2024/06/10/323234.phtml,48.0,227.0,48.0,0.0,3.0,300.5
55,2024-06-10 07:57:00,Не указан,Ретейлер Inventive Retail Group открыл первый магазин игрушек,Маркетинг,323232,https://adindex.ru/news/marketing/2024/06/10/323232.phtml,25.0,169.0,25.0,0.0,2.8,394.0
56,2024-06-10 07:47:00,Не указан,Гендиректор «МТС Медиа» Елена Бальмонт покинула холдинг,Кадры,323231,https://adindex.ru/news/hr/2024/06/10/323231.phtml,336.0,563.0,331.0,25.0,1.13068182,23.35
57,2024-06-10 07:39:00,Не указан,Сеть «Л’Этуаль» начала работать на рынке Ближнего Востока,Маркетинг,323229,https://adindex.ru/news/marketing/2024/06/10/323229.phtml,31.0,155.0,27.0,0.0,3.825,136.358333335
58,2024-06-10 07:21:00,Не указан,Владелец «Нашего радио» начал искать покупателя на свой актив,Право,323230,https://adindex.ru/news/right/2024/06/10/323230.phtml,35.0,149.0,35.0,0.0,1.5,77.5
59,2024-06-07 18:50:00,Алена Позднякова,Реклама «Инста* теперь LOOKY» появилась на цифровых экранах в Санкт-Петербурге,Пресс-релизы,323217,https://adindex.ru/news/releases/2024/06/7/323217.phtml?erid=2VtzqwkvTi6,26.0,166.0,26.0,0.0,5.0,306.0
60,2024-06-07 18:48:00,Елизавета Ронжина,Правительство поддержало закон о регулировании маркетплейсов,Право,323227,https://adindex.ru/news/right/2024/06/7/323227.phtml,31.0,206.0,30.0,3.125,2.6875,99.0
61,2024-06-07 18:20:00,Елизавета Ронжина,Сергей Ефимов стал главой подразделения Resolution OMD OM Group,Кадры,323226,https://adindex.ru/news/hr/2024/06/7/323226.phtml,46.0,230.0,42.0,16.665,2.741923075,87.5
