,date,author,post_name,post_tag,post_id,link
0,2024-06-14 18:23:00,Елизавета Ронжина,Ozon «доставил» Оксану Самойлову в розовой коробке,Маркетинг,323378,https://adindex.ru/news/marketing/2024/06/14/323378.phtml
1,2024-06-14 17:26:00,Елизавета Ронжина,"Киностудия Starbucks, дезинформация в X и рекламные амбиции Spotify — обзор новостей в зарубежных СМИ",Тенденции,323376,https://adindex.ru/news/tendencies/2024/06/14/323376.phtml
2,2024-06-14 16:20:00,Елизавета Ронжина,Apple стала самым дорогим брендом третий год подряд,Тенденции,323375,https://adindex.ru/news/tendencies/2024/06/14/323375.phtml
3,2024-06-14 15:13:00,Не указан,К полету готовы! Объявлены первые спикеры AdIndex City Conference 2024,Пресс-релизы,323373,https://adindex.ru/news/releases/2024/06/14/323373.phtml
4,2024-06-14 14:35:00,Алена Зиннатова,В ритме вальса: Samsung создал кроссовки для управления смартфоном во время танца,Digital,323372,https://adindex.ru/news/digital/2024/06/14/323372.phtml
5,2024-06-14 13:30:00,Не указан,«Дзен» открыл свое кафе в Москве,Маркетинг,323371,https://adindex.ru/news/marketing/2024/06/14/323371.phtml
6,2024-06-14 12:34:00,Не указан,Вадим Мельников возглавит дивизион Performance в Kokoc Group,Пресс-релизы,323365,https://adindex.ru/news/releases/2024/06/14/323365.phtml
7,2024-06-14 12:31:00,Елизавета Ронжина,Головы Jony и Gayazov$ Brother анонсировали свои песни на «Звуке»,Креатив,323369,https://adindex.ru/news/creative/2024/06/14/323369.phtml
8,2024-06-14 11:00:00,Валентина Буйлова,Каждый четвертый блогер переживает из-за отсутствия рекламодателей,Тенденции,323364,https://adindex.ru/news/tendencies/2024/06/14/323364.phtml
9,2024-06-14 10:00:00,Не указан,ФАС оштрафовала «Яндекс» за ненадлежащую рекламу,Право,323363,https://adindex.ru/news/right/2024/06/14/323363.phtml
10,2024-06-14 09:33:00,Валентина Буйлова,Coca-Cola подала заявку на регистрацию своих товарных знаков в России,Право,323362,https://adindex.ru/news/right/2024/06/14/323362.phtml
11,2024-06-14 09:02:00,Не указан,Дефицит кадров в торговле стал самым масштабным за последние 20 лет,Тенденции,323361,https://adindex.ru/news/tendencies/2024/06/14/323361.phtml
12,2024-06-14 08:33:00,Валентина Буйлова,«Яндекс» создаст отдельный бренд для роботов-доставщиков,Digital,323360,https://adindex.ru/news/digital/2024/06/14/323360.phtml
13,2024-06-14 07:51:00,Не указан,Количество недовольных новыми брендами увеличилось на 16%,Тенденции,323359,https://adindex.ru/news/tendencies/2024/06/14/323359.phtml
14,2024-06-14 07:42:00,Не указан,Вырос спрос на специалистов со знаниями нюансов маркировки интернет-рекламы,Тенденции,323358,https://adindex.ru/news/tendencies/2024/06/14/323358.phtml
15,2024-06-14 07:29:00,Не указан,Сеть детских товаров «Кораблик» начала закрывать магазины,Маркетинг,323357,https://adindex.ru/news/marketing/2024/06/14/323357.phtml
16,2024-06-14 07:20:00,Валентина Буйлова,Блогеры не поддержали отраслевые законопроекты,Право,323356,https://adindex.ru/news/right/2024/06/14/323356.phtml
17,2024-06-13 18:15:00,Не указан,"АКАР, АРИР и РОЦИТ провели новое исследование соцсетей",Пресс-релизы,323352,https://adindex.ru/news/releases/2024/06/13/323352.phtml
18,2024-06-13 17:36:00,Не указан,«Яндекс» купил eLama,Digital,323353,https://adindex.ru/news/digital/2024/06/13/323353.phtml
19,2024-06-13 16:34:00,Не указан,«Российская креативная неделя» пройдет в Москве,Пресс-релизы,323346,https://adindex.ru/news/releases/2024/06/13/323346.phtml
20,2024-06-13 16:30:00,Не указан,Финал исследования об использовании ИИ в маркетинге состоится 25 июня в НИУ ВШЭ,Пресс-релизы,323349,https://adindex.ru/news/releases/2024/06/13/323349.phtml
21,2024-06-13 16:14:00,Не указан,«Мегамаркет» и OBI стали партнерами,Маркетинг,323350,https://adindex.ru/news/marketing/2024/06/13/323350.phtml
22,2024-06-13 14:24:00,Не указан,В «Магнит Косметик» будут продавать коллекцию мужских ароматов Henderson,Маркетинг,323345,https://adindex.ru/news/marketing/2024/06/13/323345.phtml
23,2024-06-13 13:27:00,Не указан,В России прошло первое углеродно-нейтральное соревнование по киберспорту,Пресс-релизы,323340,https://adindex.ru/news/releases/2024/06/13/323340.phtml
24,2024-06-13 12:14:00,Не указан,Divan.ru сменил логотип,Дизайн,323341,https://adindex.ru/news/design/2024/06/13/323341.phtml
25,2024-06-13 10:40:00,Не указан,Ида Галич стала амбассадором «Актибио» в магазинах X5,Маркетинг,323339,https://adindex.ru/news/marketing/2024/06/13/323339.phtml
26,2024-06-13 09:27:00,Не указан,ФАС не обнаружила плагиат в обложке «Букваря»,Право,323338,https://adindex.ru/news/right/2024/06/13/323338.phtml
27,2024-06-13 08:43:00,Не указан,Новые санкции США запретили оказывать России ряд услуг в сфере IT,Право,323337,https://adindex.ru/news/right/2024/06/13/323337.phtml
28,2024-06-13 07:59:00,Не указан,Grow Food создал франшизу на открытие кафе,Маркетинг,323336,https://adindex.ru/news/marketing/2024/06/13/323336.phtml
29,2024-06-13 07:43:00,Не указан,«Яндекс Путешествия» подключил возможность бронирования апартаментов,Маркетинг,323335,https://adindex.ru/news/marketing/2024/06/13/323335.phtml
30,2024-06-13 07:31:00,Не указан,Спрос на ИИ у российских дизайнеров стал больше на 212%,Тенденции,323334,https://adindex.ru/news/tendencies/2024/06/13/323334.phtml
31,2024-06-13 07:22:00,Не указан,Продажи бумажных книг на онлайн-площадках впервые достигли более 50%,Тенденции,323333,https://adindex.ru/news/tendencies/2024/06/13/323333.phtml
32,2024-06-11 17:28:00,Елизавета Ронжина,Lamoda выпустила свой обувной бренд,Маркетинг,323332,https://adindex.ru/news/marketing/2024/06/11/323332.phtml
33,2024-06-11 15:10:00,Елизавета Ронжина,Актеры сериала «Слово пацана» перепели песню «Малинки» для Wink,Креатив,323331,https://adindex.ru/news/creative/2024/06/11/323331.phtml
34,2024-06-11 15:00:00,Не указан,10 рейтинг Technology Index. Лучшие платформы автоматизации кампаний в интернете в 2024 году,Digital,323327,https://adindex.ru/news/digital/2024/06/11/323327.phtml
35,2024-06-11 13:35:00,Елизавета Ронжина,Pinterest отправил пользователей в путешествие по эстетике,Креатив,323329,https://adindex.ru/news/creative/2024/06/11/323329.phtml
36,2024-06-11 13:12:00,Не указан,Оператор наружной рекламы RGB Graphics разместил новый медиафасад в ЦАО Москвы,Пресс-релизы,323319,https://adindex.ru/news/releases/2024/06/11/323319.phtml?erid=2VtzqvEeDUi
37,2024-06-11 11:29:00,Елизавета Ронжина,«Пятерочка» назначила нового руководителя маркетинговых коммуникаций,Кадры,323307,https://adindex.ru/news/hr/2024/06/11/323307.phtml
38,2024-06-11 10:55:00,Елизавета Ронжина,Директор по маркетингу O’Stin перешел в «Инвитро»,Кадры,323290,https://adindex.ru/news/hr/2024/06/11/323290.phtml
39,2024-06-11 10:46:00,Не указан,Estee Lauder подала заявку на регистрацию бренда Tom Ford в России,Право,323285,https://adindex.ru/news/right/2024/06/11/323285.phtml
40,2024-06-11 09:11:00,Не указан,Более 20 проектов компьютерных игр могут получить поддержку ИРИ,Digital,323263,https://adindex.ru/news/digital/2024/06/11/323263.phtml
41,2024-06-11 08:30:00,Не указан,Российское подразделение GfK будет продано местному менеджменту,Право,323257,https://adindex.ru/news/right/2024/06/11/323257.phtml
42,2024-06-11 07:42:00,Не указан,Объем производства одежды вырос в стране более чем на 24%,Тенденции,323255,https://adindex.ru/news/tendencies/2024/06/11/323255.phtml
43,2024-06-11 07:33:00,Не указан,Ретейлеры начали продавать свои СТМ на других площадках,Маркетинг,323254,https://adindex.ru/news/marketing/2024/06/11/323254.phtml
44,2024-06-10 21:05:00,Не указан,"Свобода иконкам, фейсконтроль к приложениям и новый интеллект — Apple показала новые продукты на WWDC 2024",Digital,323253,https://adindex.ru/news/digital/2024/06/10/323253.phtml
45,2024-06-10 18:27:00,Елизавета Ронжина,Экс-директор по маркетингу «Самоката» перешел в «билайн»,Кадры,323251,https://adindex.ru/news/hr/2024/06/10/323251.phtml
46,2024-06-10 18:06:00,Елизавета Худоятова,"Брендлокатор. Подрядчиков ищут: Тele2, «билайн», «ВКонтакте»",Эккаунты,323249,https://adindex.ru/news/ek/2024/06/10/323249.phtml
47,2024-06-10 17:50:00,Елизавета Ронжина,Экс-глава Premier стала гендиректором «МТС медиа»,Кадры,323247,https://adindex.ru/news/hr/2024/06/10/323247.phtml
48,2024-06-10 17:10:00,Елизавета Ронжина,Суд вынес определение об аресте денег на счетах российских агентств по искам «дочки» Google,Право,323244,https://adindex.ru/news/right/2024/06/10/323244.phtml
49,2024-06-10 15:38:00,Елизавета Ронжина,Михаил Петрухин стал новым директором по маркетингу «Самоката»,Кадры,323243,https://adindex.ru/news/hr/2024/06/10/323243.phtml
50,2024-06-10 14:41:00,Не указан,НИУ ВШЭ и ГК Игроник заключили соглашение о сотрудничестве,Пресс-релизы,323233,https://adindex.ru/news/releases/2024/06/10/323233.phtml?erid=2VtzqwJSUPp
51,2024-06-10 13:32:00,Елизавета Ронжина,«Дикси» создал формат ультрамалых магазинов,Маркетинг,323241,https://adindex.ru/news/marketing/2024/06/10/323241.phtml
52,2024-06-10 12:00:00,Елизавета Ронжина,"Merhaba, Марина! Звезда «Великолепного века» постучалась в двери фанатов турецких сериалов",Креатив,323240,https://adindex.ru/news/creative/2024/06/10/323240.phtml
53,2024-06-10 11:27:00,Не указан,Бренды смогут добавлять таргетинг в Telegram Ads по данным программы лояльности «Магнита»,Digital,323238,https://adindex.ru/news/digital/2024/06/10/323238.phtml
54,2024-06-10 10:16:00,Не указан,«Букмейт» создал виртуального рассказчика,Digital,323234,https://adindex.ru/news/digital/2024/06/10/323234.phtml
55,2024-06-10 07:57:00,Не указан,Ретейлер Inventive Retail Group открыл первый магазин игрушек,Маркетинг,323232,https://adindex.ru/news/marketing/2024/06/10/323232.phtml
56,2024-06-10 07:47:00,Не указан,Гендиректор «МТС Медиа» Елена Бальмонт покинула холдинг,Кадры,323231,https://adindex.ru/news/hr/2024/06/10/323231.phtml
57,2024-06-10 07:39:00,Не указан,Сеть «Л’Этуаль» начала работать на рынке Ближнего Востока,Маркетинг,323229,https://adindex.ru/news/marketing/2024/06/10/323229.phtml
58,2024-06-10 07:21:00,Не указан,Владелец «Нашего радио» начал искать покупателя на свой актив,Право,323230,https://adindex.ru/news/right/2024/06/10/323230.phtml
59,2024-06-07 18:50:00,Алена Позднякова,Реклама «Инста* теперь LOOKY» появилась на цифровых экранах в Санкт-Петербурге,Пресс-релизы,323217,https://adindex.ru/news/releases/2024/06/7/323217.phtml?erid=2VtzqwkvTi6
60,2024-06-07 18:48:00,Елизавета Ронжина,Правительство поддержало закон о регулировании маркетплейсов,Право,323227,https://adindex.ru/news/right/2024/06/7/323227.phtml
61,2024-06-07 18:20:00,Елизавета Ронжина,Сергей Ефимов стал главой подразделения Resolution OMD OM Group,Кадры,323226,https://adindex.ru/news/hr/2024/06/7/323226.phtml
62,2024-06-07 17:37:00,Не указан,AdIndex и премия «Проксима» запустили совместный спецпроект,Пресс-релизы,323223,https://adindex.ru/news/releases/2024/06/7/323223.phtml
63,2024-06-07 16:53:00,Елизавета Ронжина,Вынужденный «перерыв на рекламу» в Instagram* и рост прогноза рекламного рынка от Dentsu — обзор новостей в зарубежных СМИ,Тенденции,323222,https://adindex.ru/news/tendencies/2024/06/7/323222.phtml
64,2024-06-07 16:31:00,Не указан,Телеканал «Пятница!» совместно с Yappy объявили начало кастинга в интеллектуальное шоу «Умнее всех»,Пресс-релизы,323179,https://adindex.ru/news/releases/2024/06/6/323179.phtml?erid=2VtzqwFoGk6
65,2024-06-07 15:48:00,Не указан,Pari поддержит сборную Сербии на чемпионате Европы,Пресс-релизы,323203,https://adindex.ru/news/releases/2024/06/7/323203.phtml
66,2024-06-07 15:40:00,Мария Хайкина,МАЕР предоставит дополнительное эфирное время для соцпроектов,Пресс-релизы,323205,https://adindex.ru/news/releases/2024/06/7/323205.phtml?erid=2Vtzqw5Y5Kt
67,2024-06-07 15:08:00,Елизавета Ронжина,Директор по маркетингу Mixit перешел в Divage,Кадры,323213,https://adindex.ru/news/hr/2024/06/7/323213.phtml
68,2024-06-07 14:30:00,Мария Хайкина,Игроник и Russ договорились о совместном продвижении российских товаров и услуг,Пресс-релизы,323204,https://adindex.ru/news/releases/2024/06/7/323204.phtml?erid=2Vtzqws7X8J
69,2024-06-07 13:25:00,Елизавета Ронжина,Диджитал-инфлюенсер «Пятницы!» переехал на дачу,Креатив,323210,https://adindex.ru/news/creative/2024/06/7/323210.phtml
70,2024-06-07 12:36:00,Елизавета Ронжина,Антон Ефимов возглавит новое трейдинг-подразделение в OMD OM Group,Маркетинг,323208,https://adindex.ru/news/marketing/2024/06/7/323208.phtml
